slug,type,order,text_ar,text_en,amount,unit_ar
convert-visit-to-iqama,trouble,2,كم تستغرق العملية؟,عادة 2-4 أسابيع من تقديم الطلب حتى إصدار الإقامة.,,
convert-visit-to-iqama,trouble,3,تأشيرة الزيارة على وشك الانتهاء — هل أمدد أولاً؟,نعم، يجب أن تكون التأشيرة سارية أثناء معالجة الطلب. مدّدها عبر أبشر قبل التقديم على التحويل.,,
convert-visit-to-iqama,trouble,4,هل يمكن تحويل زيارة عائلية لمرافق إلى إقامة مرافق؟,نعم، إذا كان الكفيل مستوفياً لشروط استقبال المرافقين (راتب كافٍ وإقامة سارية).,,
dependents-fee-payment,check,1,إقامة المقيم سارية,Valid Iqama,,
dependents-fee-payment,check,2,حساب بنكي مربوط بسداد,Bank account linked to Sadad,,
dependents-fee-payment,fee,1,رسوم المرافق / التابع,,400,ر.س / شهر / شخص
dependents-fee-payment,step,1,ادخل إلى أبشر أو تطبيق البنك,Go to Absher or banking app,,
dependents-fee-payment,step,2,"اختر ""المدفوعات الحكومية"" أو ""سداد""",Select Government Payments or Sadad,,
dependents-fee-payment,step,3,"اختر ""رسوم المرافقين"" وأدخل رقم الإقامة",Select Dependent Fees and enter Iqama number,,
dependents-fee-payment,step,4,حدد عدد الأشهر المراد سدادها,Select number of months to pay,,
dependents-fee-payment,step,5,أكمل عملية السداد,Complete payment,,
dependents-fee-payment,trouble,1,من المعفى من رسوم المرافقين؟,الزوجة الأولى والأبناء حتى سن 18 (أو 25 إذا كانوا طلاباً) معفيون في بعض الحالات. راجع التفاصيل عبر أبشر.,,
dependents-fee-payment,trouble,2,هل يمكن سداد الرسوم مقدماً لسنة كاملة؟,نعم، يمكن سداد حتى 12 شهراً مقدماً.,,
dependents-fee-payment,trouble,3,المبلغ يبدو أكثر مما أتوقع,الرسوم 400 ر.س × عدد المرافقين × عدد الأشهر. تأكد من عدد المرافقين المسجلين عبر أبشر.,,
ejar-rental-contract,check,1,هوية المؤجر والمستأجر سارية,Both landlord and tenant IDs valid,,
ejar-rental-contract,check,2,صك ملكية العقار إلكتروني,Electronic property deed,,
ejar-rental-contract,check,3,وسيط عقاري معتمد (للعقود التجارية),Licensed real estate broker (for commercial),,
ejar-rental-contract,fee,1,عقد سكني,,125,ر.س / سنة
ejar-rental-contract,fee,2,عقد تجاري,,200,ر.س / سنة
ejar-rental-contract,step,1,يدخل المؤجر أو الوسيط إلى منصة إيجار,Landlord or broker logs in to Ejar,,
ejar-rental-contract,step,2,"اختر ""إنشاء عقد جديد"" وحدد نوعه (سكني/تجاري)",Select Create New Contract and choose type,,
ejar-rental-contract,step,3,أدخل بيانات العقار والمستأجر ومدة العقد والقيمة,"Enter property, tenant, duration, and rent details",,
ejar-rental-contract,step,4,المستأجر يتلقى إشعاراً للموافقة عبر أبشر أو نفاذ,Tenant receives approval notification via Absher/Nafath,,
ejar-rental-contract,step,5,بعد موافقة الطرفين وسداد الرسوم، يُوثق العقد,"After both approve and fees are paid, contract is authenticated",,
ejar-rental-contract,trouble,1,المستأجر لم يوافق على العقد,الطلب صالح لمدة 7 أيام. ذكّر المستأجر بالموافقة عبر أبشر. بعد انتهاء المهلة يجب إعادة الإنشاء.,,
ejar-rental-contract,trouble,2,هل يمكن تعديل العقد بعد التوثيق؟,نعم، يمكن إنشاء ملحق عقد لتعديل القيمة أو المدة عبر إيجار.,,
ejar-rental-contract,trouble,3,ماذا لو كان العقار بدون صك إلكتروني؟,يجب تحويل الصك الورقي إلى إلكتروني عبر بوابة ناجز أولاً.,,
exit-reentry-visa,check,1,هوية المقيم (الإقامة) سارية المفعول,Valid Iqama (resident ID),,
exit-reentry-visa,check,2,جواز السفر ساري لمدة لا تقل عن 6 أشهر,Passport valid for at least 6 months,,
exit-reentry-visa,check,3,عدم وجود مخالفات مرورية أو بلاغات,No traffic violations or reports,,
exit-reentry-visa,check,4,تأمين طبي ساري المفعول,Active medical insurance,,
exit-reentry-visa,fee,1,مفردة (سفرة واحدة),,200,ر.س
exit-reentry-visa,fee,2,متعددة (عدة سفرات),,500,ر.س
exit-reentry-visa,step,1,سجّل الدخول إلى منصة أبشر أفراد,Log in to Absher Individuals,,
exit-reentry-visa,step,2,"اختر ""خدماتي"" ثم ""الجوازات""",Go to My Services → Passports,,
exit-reentry-visa,step,3,"اختر ""تأشيرات"" ثم ""إصدار تأشيرة خروج وعودة""",Select Visas → Issue Exit/Re-entry Visa,,
exit-reentry-visa,step,4,اختر المقيم واختر نوع التأشيرة (مفردة أو متعددة),Select resident and visa type (single or multiple),,
exit-reentry-visa,step,5,حدد مدة التأشيرة وتاريخ المغادرة المتوقع,Set visa duration and expected departure date,,
exit-reentry-visa,step,6,"راجع البيانات واضغط ""تأكيد""",Review and confirm,,
exit-reentry-visa,trouble,1,"ظهرت رسالة ""لا يمكن إصدار التأشيرة""",تأكد من سريان الإقامة وعدم وجود مخالفات أو بلاغ تغيب مسجل على المقيم.,,
exit-reentry-visa,trouble,2,هل يمكن تمديد التأشيرة بعد السفر؟,نعم، يمكن تمديدها عبر أبشر قبل انتهاء صلاحيتها، بشرط أن يكون المقيم خارج المملكة.,,
exit-reentry-visa,trouble,3,ماذا يحدث إذا لم يعد المقيم خلال المدة؟,تنتهي صلاحية الإقامة وقد يتعرض لمنع من الدخول. يجب إصدار تأشيرة عودة من السفارة.,,
family-visit-visa,check,1,إقامة أو هوية وطنية سارية,Valid Iqama or national ID,,
family-visit-visa,check,2,جواز سفر الزائر ساري لمدة 6 أشهر,Visitor passport valid for 6 months,,
family-visit-visa,check,3,راتب لا يقل عن الحد المطلوب حسب الجنسية,Salary meets minimum requirement by nationality,,
family-visit-visa,check,4,تأمين طبي للزائر,Medical insurance for the visitor,,
family-visit-visa,fee,1,تأشيرة مفردة (90 يوم),,300,ر.س
family-visit-visa,fee,2,تأشيرة متعددة (سنة),,500,ر.س
family-visit-visa,step,1,ادخل إلى منصة التأشيرات الإلكترونية في وزارة الخارجية,Go to MOFA e-Visa platform,,
family-visit-visa,step,2,سجّل الدخول عبر النفاذ الوطني,Log in via National SSO,,
family-visit-visa,step,3,"اختر ""تأشيرة زيارة عائلية"" وأدخل بيانات الزائر",Select Family Visit Visa and enter visitor details,,
family-visit-visa,step,4,حدد نوع التأشيرة (مفردة أو متعددة) والمدة,Choose visa type and duration,,
family-visit-visa,step,5,ارفع المستندات المطلوبة (جواز، صورة، إثبات قرابة),"Upload required documents (passport, photo, kinship proof)",,
family-visit-visa,step,6,سدّد الرسوم وانتظر الموافقة (3-7 أيام عمل),Pay fees and wait for approval (3-7 business days),,
family-visit-visa,trouble,1,تم رفض الطلب — ماذا أفعل؟,الأسباب الشائعة: راتب أقل من الحد، جواز منتهي، أو طلب مقدم لنفس الشخص مسبقاً. صحّح السبب وأعد التقديم.,,
family-visit-visa,trouble,2,هل يمكن تمديد الزيارة العائلية؟,نعم، يمكن تمديدها عبر أبشر أو منصة مقيم قبل انتهاء صلاحيتها.,,
family-visit-visa,trouble,3,ما الفرق بين زيارة عائلية وزيارة شخصية؟,العائلية تشمل الأقارب من الدرجة الأولى والثانية. الشخصية تشمل الأصدقاء وغير الأقارب.,,
final-exit-visa,check,1,هوية المقيم سارية المفعول,Valid Iqama,,
final-exit-visa,check,2,لا توجد التزامات مالية على العامل (حقوق عمالية),No outstanding labor dues,,
final-exit-visa,check,3,لا يوجد حظر سفر أو قضايا قائمة,No travel ban or pending cases,,
final-exit-visa,check,4,سداد جميع المخالفات المرورية,All traffic fines paid,,
final-exit-visa,fee,1,رسوم التأشيرة,,0,مجانية
final-exit-visa,step,1,سجّل الدخول إلى أبشر أعمال,Log in to Absher Business,,
final-exit-visa,step,2,"اختر ""خدمات أعمالي"" ثم ""الجوازات""",Go to My Business Services → Passports,,
final-exit-visa,step,3,"اختر ""تأشيرات"" ثم ""إصدار تأشيرة خروج نهائي""",Select Visas → Issue Final Exit Visa,,
final-exit-visa,step,4,اختر العامل من قائمة المكفولين,Select the worker from your sponsored list,,
final-exit-visa,step,5,"أكّد البيانات واضغط ""إصدار""",Confirm details and issue,,
final-exit-visa,step,6,العامل لديه 60 يوماً للمغادرة من تاريخ الإصدار,Worker has 60 days to depart from issue date,,
final-exit-visa,trouble,1,العامل لا يريد المغادرة — هل يمكن إلغاء التأشيرة؟,نعم، يمكن إلغاء تأشيرة الخروج النهائي عبر أبشر قبل مغادرة العامل للمملكة.,,
final-exit-visa,trouble,2,هل يمكن للعامل إصدارها بنفسه؟,نعم، يمكن للعامل إصدار تأشيرة خروج نهائي بنفسه عبر أبشر أفراد إذا انتهى عقد العمل.,,
final-exit-visa,trouble,3,ماذا لو لم يغادر العامل خلال 60 يوماً؟,تنتهي صلاحية التأشيرة ويجب إصدار واحدة جديدة، وقد تُفرض غرامات على التأخير.,,
gosi-certificate,check,1,حساب في التأمينات أون لاين أو تطبيق تأميناتي,Account on GOSI Online or Taminaty app,,
gosi-certificate,check,2,اشتراك ساري أو سابق في التأمينات,Active or past GOSI subscription,,
gosi-certificate,fee,1,الإصدار,,0,مجاني
gosi-certificate,step,1,ادخل إلى بوابة التأمينات أون لاين أو تطبيق تأميناتي,Go to GOSI Online or Taminaty app,,
gosi-certificate,step,2,سجّل الدخول عبر النفاذ الوطني,Log in via National SSO,,
gosi-certificate,step,3,"اختر ""الشهادات"" ثم ""إصدار شهادة اشتراك""",Select Certificates → Issue Subscription Certificate,,
gosi-certificate,step,4,الشهادة تصدر فوراً ويمكن تحميلها كـ PDF,Certificate issues instantly and can be downloaded as PDF,,
gosi-certificate,trouble,1,الشهادة تظهر بيانات قديمة,إذا غيّرت وظيفتك مؤخراً، قد تحتاج 2-4 أسابيع حتى تُحدث البيانات. تواصل مع صاحب العمل الجديد لتأكيد التسجيل.,,
gosi-certificate,trouble,2,لماذا أحتاج هذه الشهادة؟,مطلوبة عند: التقديم على قرض بنكي، إثبات الخبرة، التقديم على وظيفة حكومية، أو إجراءات التقاعد.,,
gosi-register-employee,check,1,المنشأة مسجلة في التأمينات الاجتماعية,Establishment registered in GOSI,,
gosi-register-employee,check,2,رقم هوية أو إقامة الموظف الجديد,New employee's national ID or Iqama number,,
gosi-register-employee,check,3,بيانات العقد (تاريخ البدء، الراتب، المسمى الوظيفي),"Contract details (start date, salary, job title)",,
gosi-register-employee,check,4,عقد العمل موثق في منصة قوى,Employment contract authenticated in Qiwa,,
gosi-register-employee,fee,1,اشتراك سعودي,,21.5,% من الراتب شهرياً
gosi-register-employee,fee,2,اشتراك وافد,,2,% أخطار مهنية فقط
gosi-register-employee,step,1,سجّل الدخول إلى بوابة أعمال في التأمينات الاجتماعية,Log in to GOSI Amaal portal,,
gosi-register-employee,step,2,"اختر ""إدارة المشتركين"" ثم ""تسجيل مشترك جديد""",Go to Subscriber Management → Register New Subscriber,,
gosi-register-employee,step,3,أدخل رقم الهوية أو الإقامة — ستظهر بيانات الموظف تلقائياً,Enter ID/Iqama number — employee data auto-populates,,
gosi-register-employee,step,4,أكمل بيانات العقد: الراتب، المسمى، تاريخ الالتحاق,"Complete contract details: salary, title, joining date",,
gosi-register-employee,step,5,راجع وأكّد — التسجيل يُفعّل من تاريخ الالتحاق,Review and confirm — registration activates from joining date,,
gosi-register-employee,trouble,1,الموظف مسجل في منشأة أخرى,يجب أن تُلغي المنشأة السابقة اشتراكه أولاً، أو يتم النقل تلقائياً عبر قوى عند نقل الخدمات.,,
gosi-register-employee,trouble,2,ما نسبة الاشتراك للموظف السعودي؟,المجموع 21.5%: يدفع صاحب العمل 11.75% والموظف 9.75% (تُخصم من راتبه).,,
gosi-register-employee,trouble,3,هل يمكن التسجيل بأثر رجعي؟,نعم، لكن قد تُفرض غرامات على التأخير حسب عدد الأشهر.,,
gosi-retirement-subscription,check,1,حساب في التأمينات أون لاين أو تطبيق تأميناتي,Account on GOSI Online or Taminaty app,,
gosi-retirement-subscription,check,2,رقم هوية أو إقامة ساري,Valid national ID or Iqama,,
gosi-retirement-subscription,fee,1,الاستعلام,,0,مجاني
gosi-retirement-subscription,step,1,ادخل إلى بوابة التأمينات أون لاين أو تطبيق تأميناتي,Go to GOSI Online or Taminaty app,,
gosi-retirement-subscription,step,2,سجّل الدخول عبر النفاذ الوطني,Log in via National SSO (Nafath),,
gosi-retirement-subscription,step,3,"اختر ""معلومات الاشتراك"" من القائمة",Select Subscription Info from menu,,
gosi-retirement-subscription,step,4,ستظهر مدة الاشتراك، الراتب المسجل، وجهات العمل السابقة,"View subscription period, registered salary, and employment history",,
gosi-retirement-subscription,trouble,1,الراتب المسجل أقل من راتبي الفعلي,تقدّم بشكوى عبر التأمينات ضد صاحب العمل. يمكنك أيضاً رفع بلاغ في منصة قوى.,,
gosi-retirement-subscription,trouble,2,جهة عمل سابقة لم تسجّلني,يمكنك تقديم طلب ضم مدة اشتراك سابقة عبر التأمينات مع إثبات العلاقة العمالية.,,
hajj-umrah-permit,check,1,هوية وطنية أو إقامة سارية,Valid national ID or Iqama,,
hajj-umrah-permit,check,2,تطعيمات محدّثة (حسب الاشتراطات الصحية),Updated vaccinations (per health requirements),,
hajj-umrah-permit,check,3,تطبيق نسك أو توكلنا,Nusuk or Tawakkalna app,,
hajj-umrah-permit,fee,1,تصريح العمرة,,0,مجاني للمقيمين والمواطنين
hajj-umrah-permit,step,1,حمّل تطبيق نسك أو ادخل الموقع,Download Nusuk app or visit website,,
hajj-umrah-permit,step,2,سجّل الدخول عبر النفاذ الوطني,Log in via National SSO,,
hajj-umrah-permit,step,3,"اختر ""إصدار تصريح عمرة"" أو ""التسجيل للحج""",Select Issue Umrah Permit or Register for Hajj,,
hajj-umrah-permit,step,4,حدد التاريخ والوقت المناسب,Choose preferred date and time,,
hajj-umrah-permit,step,5,التصريح يصدر إلكترونياً ويظهر في توكلنا,Permit issues digitally and appears in Tawakkalna,,
hajj-umrah-permit,trouble,1,لا تظهر مواعيد متاحة,المواعيد تُحدث دورياً. حاول في أوقات مختلفة أو اختر تاريخاً أبعد.,,
hajj-umrah-permit,trouble,2,هل أحتاج تصريح للعمرة من داخل مكة؟,عادة لا يُطلب تصريح لسكان مكة لأداء العمرة، لكن قد تتغير الاشتراطات في مواسم الذروة.,,
issue-birth-certificate,check,1,تقرير ولادة من المستشفى,Birth report from hospital,,
issue-birth-certificate,check,2,هوية الأب والأم سارية,Both parents' IDs valid,,
issue-birth-certificate,check,3,عقد زواج موثق,Authenticated marriage contract,,
issue-birth-certificate,fee,1,التسجيل,,0,مجاني
issue-birth-certificate,step,1,سجّل الدخول إلى أبشر أفراد,Log in to Absher Individuals,,
issue-birth-certificate,step,2,"اختر ""خدماتي"" ثم ""الأحوال المدنية"" ثم ""تسجيل مولود""",Go to My Services → Civil Affairs → Register Newborn,,
issue-birth-certificate,step,3,أدخل بيانات المولود (الاسم، التاريخ، مكان الولادة),"Enter newborn details (name, date, place of birth)",,
issue-birth-certificate,step,4,راجع البيانات واضغط تأكيد,Review and confirm,,
issue-birth-certificate,step,5,شهادة الميلاد تصدر إلكترونياً,Birth certificate issues digitally,,
issue-birth-certificate,trouble,1,تجاوزت مهلة الـ 15 يوماً,يجب مراجعة مكتب الأحوال المدنية شخصياً مع جميع المستندات.,,
issue-birth-certificate,trouble,2,هل يمكن تسجيل مولود لأم غير سعودية؟,نعم، إذا كان الأب سعودياً يُسجل المولود سعودياً تلقائياً.,,
issue-commercial-registration,check,1,الهوية الوطنية سارية المفعول,Valid national ID,,
issue-commercial-registration,check,2,العمر 18 سنة فأكثر,Age 18 or above,,
issue-commercial-registration,check,3,عدم العمل في القطاع الحكومي (للسجل الرئيسي),Not employed in government sector (for main CR),,
issue-commercial-registration,check,4,وجود عنوان وطني مسجل في سبل,Registered national address in Subol,,
issue-commercial-registration,fee,1,سجل رئيسي,,200,ر.س / سنة
issue-commercial-registration,fee,2,سجل فرعي,,100,ر.س / سنة
issue-commercial-registration,fee,3,الغرفة التجارية,,300,ر.س / سنة تقريباً
issue-commercial-registration,step,1,ادخل إلى موقع المركز السعودي للأعمال وسجّل الدخول عبر النفاذ الوطني,Go to business.sa and log in via National SSO,,
issue-commercial-registration,step,2,"اختر ""إصدار سجل تجاري"" من القائمة",Select Issue Commercial Registration,,
issue-commercial-registration,step,3,حدد نوع السجل (رئيسي أو فرعي) واختر النشاط التجاري,Choose main or branch CR and select business activity,,
issue-commercial-registration,step,4,أدخل الاسم التجاري (سيتم التحقق من توفره تلقائياً),Enter trade name (availability checked automatically),,
issue-commercial-registration,step,5,حدد رأس المال ومدة السجل (1-5 سنوات),Set capital and CR duration (1-5 years),,
issue-commercial-registration,step,6,راجع الملخص وسدّد الرسوم عبر سداد,Review summary and pay via Sadad,,
issue-commercial-registration,step,7,السجل يصدر فورياً بعد السداد — يمكنك طباعته إلكترونياً,CR issues instantly after payment — print digitally,,
issue-commercial-registration,trouble,1,الاسم التجاري الذي أريده غير متاح,جرّب إضافة كلمة مميزة أو تعديل الصياغة. لا يمكن تكرار الأسماء التجارية المسجلة.,,
issue-commercial-registration,trouble,2,هل يمكن لموظف حكومي إصدار سجل تجاري؟,لا يمكن إصدار سجل رئيسي، لكن يمكن أن يكون شريكاً في سجل فرعي بنسبة لا تتجاوز حداً معيناً.,,
issue-commercial-registration,trouble,3,ما الفرق بين السجل الرئيسي والفرعي؟,الرئيسي هو السجل الأساسي للمنشأة. الفرعي يُصدر لفرع في مدينة أخرى أو لنشاط إضافي تحت نفس المنشأة.,,
issue-family-card,check,1,هوية وطنية سارية لرب الأسرة,Valid national ID for head of household,,
issue-family-card,check,2,عقد زواج موثق,Authenticated marriage contract,,
issue-family-card,check,3,تسجيل جميع أفراد الأسرة في الأحوال المدنية,All family members registered in Civil Affairs,,
issue-family-card,fee,1,الإصدار,,0,مجاني
issue-family-card,step,1,سجّل الدخول إلى أبشر أفراد,Log in to Absher Individuals,,
issue-family-card,step,2,"اختر ""خدماتي"" ثم ""الأحوال المدنية""",Go to My Services → Civil Affairs,,
issue-family-card,step,3,"اختر ""إصدار بطاقة عائلة"" أو ""تحديث بطاقة عائلة""",Select Issue Family Card or Update Family Card,,
issue-family-card,step,4,راجع بيانات أفراد الأسرة وأكّد,Review family members' data and confirm,,
issue-family-card,step,5,البطاقة تصدر إلكترونياً ويمكن طباعتها,Card issues digitally and can be printed,,
issue-family-card,trouble,1,أحد الأبناء لا يظهر في البطاقة,تأكد من تسجيله في الأحوال المدنية. إذا كان مولوداً حديثاً، سجّله أولاً عبر أبشر ثم حدّث البطاقة.,,
issue-family-card,trouble,2,هل بطاقة العائلة الإلكترونية معتمدة؟,نعم، البطاقة الإلكترونية في أبشر وتوكلنا معتمدة رسمياً.,,
issue-family-card,trouble,3,كيف أضيف زوجة ثانية؟,بعد توثيق عقد الزواج الثاني عبر ناجز، حدّث بطاقة العائلة لتشمل الزوجة الجديدة وأبناءها.,,
issue-municipal-license,check,1,سجل تجاري ساري المفعول,Valid commercial registration,,
issue-municipal-license,check,2,عقد إيجار إلكتروني موثق في إيجار,Authenticated e-lease in Ejar platform,,
issue-municipal-license,check,3,رخصة الدفاع المدني (إذا كان النشاط يتطلبها),Civil defense permit (if required for activity),,
issue-municipal-license,check,4,شهادة السلامة (إذا لزم),Safety certificate (if applicable),,
issue-municipal-license,fee,1,الرخصة البلدية,,500,"ر.س - 3,000 ر.س حسب النشاط"
issue-municipal-license,step,1,ادخل إلى منصة بلدي وسجّل الدخول عبر النفاذ الوطني,Go to Balady and log in via National SSO,,
issue-municipal-license,step,2,"اختر ""إصدار رخصة"" وحدد نوع النشاط",Select Issue License and choose activity type,,
issue-municipal-license,step,3,أدخل بيانات الموقع ورقم عقد الإيجار,Enter location details and lease contract number,,
issue-municipal-license,step,4,ارفع المستندات المطلوبة,Upload required documents,,
issue-municipal-license,step,5,سدّد الرسوم وانتظر المراجعة (1-5 أيام عمل),Pay and wait for review (1-5 business days),,
issue-municipal-license,trouble,1,طلبي معلق منذ أيام,تابع حالة الطلب عبر بلدي. قد يحتاج لتعديل معلومات أو مستندات إضافية.,,
issue-municipal-license,trouble,2,هل أحتاج رخصة بلدية لمتجر إلكتروني؟,لا، المتاجر الإلكترونية بدون موقع فعلي تحتاج فقط لسجل تجاري وتوثيق في معروف.,,
jadarat-job-search,check,1,هوية وطنية سارية (للسعوديين),Valid national ID (for Saudis),,
jadarat-job-search,check,2,بيانات محدّثة في أبشر,Updated data in Absher,,
jadarat-job-search,fee,1,التسجيل والبحث,,0,مجاني
jadarat-job-search,step,1,ادخل إلى منصة جدارات وسجّل عبر النفاذ الوطني,Go to Jadarat and register via National SSO,,
jadarat-job-search,step,2,أكمل ملفك الشخصي (المؤهلات، الخبرات، المهارات),"Complete your profile (qualifications, experience, skills)",,
jadarat-job-search,step,3,ابحث عن الوظائف حسب المجال والمنطقة,Search for jobs by field and region,,
jadarat-job-search,step,4,قدّم على الوظائف المناسبة,Apply to suitable positions,,
jadarat-job-search,step,5,تابع حالة طلباتك عبر لوحة التحكم,Track your applications via dashboard,,
jadarat-job-search,trouble,1,ما الفرق بين جدارات وطاقات وجدارة؟,جدارات هي المنصة الموحدة الجديدة التي دمجت خدمات طاقات (القطاع الخاص) وجدارة (القطاع الحكومي) في منصة واحدة.,,
jadarat-job-search,trouble,2,هل يمكن لغير السعوديين استخدام جدارات؟,المنصة مخصصة بشكل أساسي للمواطنين السعوديين الباحثين عن عمل.,,
labor-complaint-qiwa,check,1,عقد عمل ساري (موثق أو غير موثق),Active employment contract (authenticated or not),,
labor-complaint-qiwa,check,2,إقامة أو هوية سارية,Valid Iqama or national ID,,
labor-complaint-qiwa,check,3,أدلة تدعم الشكوى (كشف حساب، رسائل، عقد),"Evidence supporting complaint (bank statement, messages, contract)",,
labor-complaint-qiwa,fee,1,تقديم الشكوى,,0,مجاني
