slug,title_ar,title_en,description_ar,description_en,portal,portal_url,ministry_ar,ministry_en,category_ar,category_en,tags,penalty_ar,penalty_en,related_slugs,last_updated
final-exit-visa,إصدار تأشيرة خروج نهائي عبر أبشر,Issue final exit visa via Absher,تمكّن هذه الخدمة صاحب العمل من إصدار تأشيرة خروج نهائي لأحد العاملين لديه، وذلك لمغادرة المملكة بشكل نهائي بعد انتهاء العلاقة العمالية.,This service enables employers to issue a final exit visa for an employee to leave the Kingdom permanently after the employment relationship ends.,أبشر أعمال,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الجوازات,Passport Services,"أبشر أعمال|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",,,"renew-iqama, exit-reentry-visa, transfer-sponsorship",########
foreign-degree-equivalency,معادلة الشهادات الأجنبية,Foreign degree equivalency,تتيح هذه الخدمة معادلة الشهادات الجامعية الصادرة من خارج المملكة لاعتمادها في التوظيف والدراسات العليا عبر وزارة التعليم.,This service allows the equivalency of university degrees issued from outside the Kingdom for use in employment and postgraduate studies via the Ministry of Education.,وزارة التعليم,https://rue.moe.gov.sa,وزارة التعليم,Ministry of Education,خدمات تعليمية,Education Services,مطلوبة للتوظيف الحكومي|warning,,,"university-admission, jadarat-job-search",2026-03-18
freelance-permit,إصدار وثيقة العمل الحر,Issue freelance work permit,وثيقة العمل الحر تتيح للمواطنين السعوديين ممارسة أعمال حرة بشكل رسمي دون الحاجة لسجل تجاري. تشمل أكثر من 140 نشاطاً في مختلف المجالات.,The freelance work permit allows Saudi citizens to practice freelance work officially without a commercial registration. It covers over 140 activities across various fields.,منصة العمل الحر,https://freelance.sa,وزارة الموارد البشرية,Ministry of Human Resources,خدمات مالية,Financial Services,"للمواطنين السعوديين فقط|info, بديل عن السجل التجاري|success",,,"issue-commercial-registration, zatca-vat-registration",2026-03-18
gosi-certificate,إصدار شهادة التأمينات الاجتماعية,Issue GOSI subscription certificate,شهادة التأمينات مطلوبة في كثير من المعاملات الحكومية والبنكية. يمكن إصدارها إلكترونياً عبر بوابة التأمينات أون لاين.,The GOSI certificate is required for many government and banking transactions. It can be issued electronically via the GOSI Online portal.,التأمينات أون لاين,https://www.gosi.gov.sa,المؤسسة العامة للتأمينات الاجتماعية,General Organization for Social Insurance (GOSI),خدمات التأمينات,Insurance Services,"التأمينات أون لاين|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",,,"gosi-register-employee, gosi-retirement-subscription",########
gosi-register-employee,تسجيل موظف في التأمينات الاجتماعية عبر أعمال,Register employee in GOSI via Amaal,تتيح هذه الخدمة لأصحاب المنشآت تسجيل موظفيهم الجدد (سعوديين ووافدين) في نظام التأمينات الاجتماعية إلكترونياً عبر بوابة أعمال.,This service allows business owners to register their new employees (Saudi and non-Saudi) in the social insurance system electronically via the GOSI Amaal portal.,التأمينات أعمال,https://www.gosi.gov.sa,المؤسسة العامة للتأمينات الاجتماعية,General Organization for Social Insurance (GOSI),خدمات التأمينات,Social Insurance Services,"التأمينات أعمال|info, إلزامي لكل موظف|warning, آخر تحديث: مارس 2026|warning","التأخر في التسجيل يعرّض المنشأة لغرامات تصل إلى 10,000 ر.س وقد يؤثر على نطاقات","Late registration exposes the establishment to fines up to SAR 10,000 and may affect Nitaqat rating","renew-work-permit, transfer-sponsorship",########
gosi-retirement-subscription,الاستعلام عن مدة الاشتراك في التأمينات,Check GOSI subscription period,تتيح لك هذه الخدمة معرفة مدة اشتراكك في التأمينات الاجتماعية والتحقق من تسجيل جهة عملك لك بشكل صحيح.,This service allows you to check your social insurance subscription period and verify that your employer has registered you correctly.,التأمينات أون لاين,https://www.gosi.gov.sa,المؤسسة العامة للتأمينات الاجتماعية,General Organization for Social Insurance (GOSI),خدمات التأمينات,Insurance Services,"التأمينات أون لاين|info, للموظفين|success, آخر تحديث: مارس 2026|warning",,,gosi-register-employee,########
hajj-umrah-permit,إصدار تصريح حج أو عمرة عبر نسك,Issue Hajj or Umrah permit via Nusuk,تتيح منصة نسك للمواطنين والمقيمين إصدار تصاريح الحج والعمرة وحجز الخدمات المرتبطة بها إلكترونياً.,The Nusuk platform allows citizens and residents to issue Hajj and Umrah permits and book related services electronically.,منصة نسك,https://www.nusuk.sa,وزارة الحج والعمرة,Ministry of Hajj and Umrah,خدمات الحج والعمرة,Hajj & Umrah Services,"منصة نسك|info, تصريح مطلوب|warning, آخر تحديث: مارس 2026|warning",,,"nafath-setup, absher-account-registration",########
issue-birth-certificate,تسجيل مولود وإصدار شهادة ميلاد,Register newborn and issue birth certificate,تتيح هذه الخدمة تسجيل المواليد الجدد وإصدار شهادة الميلاد إلكترونياً عبر أبشر خلال 15 يوماً من الولادة.,This service allows you to register newborns and issue a birth certificate electronically via Absher within 15 days of birth.,أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الأحوال المدنية,Civil Affairs,"أبشر أفراد|info, خلال 15 يوم من الولادة|warning, آخر تحديث: مارس 2026|warning",التأخر عن 15 يوماً يتطلب مراجعة الأحوال المدنية شخصياً,Delay beyond 15 days requires an in-person visit to Civil Affairs,"renew-national-id, absher-account-registration",########
issue-commercial-registration,إصدار سجل تجاري عبر المركز السعودي للأعمال,Issue commercial registration via Saudi Business Center,تتيح لك هذه الخدمة إصدار سجل تجاري رئيسي أو فرعي لمنشأتك إلكترونياً عبر المركز السعودي للأعمال، وهي الخطوة الأولى لبدء أي نشاط تجاري في المملكة.,This service allows you to issue a main or branch commercial registration for your business electronically via the Saudi Business Center — the first step to starting any business in the Kingdom.,المركز السعودي للأعمال,https://business.sa,وزارة التجارة,Ministry of Commerce,خدمات تجارية,Business Services,"المركز السعودي للأعمال|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",عدم تجديد السجل خلال 30 يوماً من انتهائه يعرّض المنشأة لغرامة وشطب,Failure to renew within 30 days of expiry exposes the business to fines and deregistration,"renew-commercial-registration, issue-municipal-license",########
issue-family-card,إصدار بطاقة العائلة (كرت العائلة) عبر أبشر,Issue family card via Absher,بطاقة العائلة وثيقة رسمية تثبت أفراد الأسرة وعلاقتهم. مطلوبة في كثير من المعاملات الحكومية والتعليمية والصحية.,"The family card is an official document that certifies family members and their relationships. It is required for many government, educational, and health transactions.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الأحوال المدنية,Civil Affairs,"أبشر أفراد|info, للمواطنين فقط|warning, آخر تحديث: مارس 2026|warning",,,"issue-birth-certificate, marriage-contract-najiz, renew-national-id",########
issue-municipal-license,إصدار رخصة بلدية (رخصة نشاط) عبر بلدي,Issue municipal license via Balady,الرخصة البلدية مطلوبة لمزاولة أي نشاط تجاري في موقع فعلي. تتيح منصة بلدي إصدارها إلكترونياً.,A municipal license is required to operate any business at a physical location. The Balady platform allows electronic issuance.,منصة بلدي,https://balady.gov.sa,وزارة الشؤون البلدية والقروية والإسكان,"Ministry of Municipal, Rural Affairs and Housing",خدمات تجارية,Business Services,"منصة بلدي|info, مطلوبة لكل موقع تجاري|warning, آخر تحديث: مارس 2026|warning",مزاولة نشاط بدون رخصة بلدية تعرّض المنشأة لغرامة وإغلاق,Operating without a municipal license exposes the business to fines and closure,"issue-commercial-registration, renew-commercial-registration",########
jadarat-job-search,البحث عن وظيفة عبر منصة جدارات,Search for jobs via Jadarat platform,جدارات هي المنصة الوطنية للتوظيف التي تربط الباحثين عن عمل بفرص القطاعين العام والخاص، وتحل محل منصتي طاقات وجدارة.,"Jadarat is the national employment platform connecting job seekers with public and private sector opportunities, replacing the former Taqat and Jadara platforms.",منصة جدارات,https://www.jadarat.sa,وزارة الموارد البشرية والتنمية الاجتماعية,Ministry of Human Resources and Social Development,خدمات العمل,Labor Services,"منصة جدارات|info, للباحثين عن عمل|success, آخر تحديث: مارس 2026|warning",,,"gosi-retirement-subscription, renew-national-id",########
labor-complaint-qiwa,تقديم شكوى عمالية عبر قوى,File labor complaint via Qiwa,تتيح هذه الخدمة للعاملين تقديم شكوى ضد صاحب العمل في حالات مثل: تأخر الرواتب، عدم توفير بيئة عمل آمنة، أو مخالفة شروط العقد.,"This service allows workers to file a complaint against their employer in cases such as: delayed salary, unsafe work environment, or contract violations.",منصة قوى,https://www.qiwa.sa,وزارة الموارد البشرية والتنمية الاجتماعية,Ministry of Human Resources and Social Development,خدمات العمل,Labor Services,"منصة قوى|info, للعاملين|success, آخر تحديث: مارس 2026|warning",,,"transfer-sponsorship, renew-work-permit",########
maroof-ecommerce,توثيق متجر إلكتروني عبر معروف,Certify online store via Maroof,منصة معروف تتيح لأصحاب المتاجر الإلكترونية توثيق أعمالهم وبناء ثقة مع العملاء. التوثيق مطلوب للإعلان في بعض المنصات.,The Maroof platform allows online store owners to certify their businesses and build customer trust. Certification is required for advertising on some platforms.,منصة معروف,https://maroof.sa,وزارة التجارة,Ministry of Commerce,خدمات مالية,Financial Services,مطلوب للإعلانات الإلكترونية|warning,,,"issue-commercial-registration, freelance-permit",2026-03-18
marriage-contract-najiz,توثيق عقد زواج عبر ناجز,Authenticate marriage contract via Najiz,تتيح هذه الخدمة توثيق عقد الزواج إلكترونياً عبر بوابة ناجز التابعة لوزارة العدل، دون الحاجة لزيارة المحكمة.,"This service allows electronic registration of marriage contracts via the Najiz portal of the Ministry of Justice, without the need to visit the court.",بوابة ناجز,https://www.najiz.sa,وزارة العدل,Ministry of Justice,خدمات الأحوال المدنية,Civil Affairs,"بوابة ناجز|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",,,"issue-birth-certificate, renew-national-id",########
medical-exam-iqama,الفحص الطبي للإقامة ورخصة القيادة,Medical exam for Iqama and driving license,الفحص الطبي مطلوب لإصدار أو تجديد الإقامة ولإصدار أو تجديد رخصة القيادة. يتم في المستشفيات والمستوصفات المعتمدة وتُرسل النتائج إلكترونياً.,"A medical exam is required for Iqama issuance/renewal and driving license issuance/renewal. It is done at approved hospitals and clinics, and results are sent electronically.",المستشفيات والمستوصفات المعتمدة,https://www.moh.gov.sa,وزارة الصحة,Ministry of Health,خدمات صحية,Health Services,مطلوب لتجديد الإقامة والرخصة|warning,,,"renew-iqama, renew-driving-license",2026-03-18
musaned-domestic-worker-visa,استقدام عمالة منزلية عبر مساند,Recruit domestic worker via Musaned,تتيح منصة مساند لأصحاب العمل استقدام العمالة المنزلية (سائقين، خادمات، مربيات، طباخين) من خارج المملكة بشكل إلكتروني.,"The Musaned platform allows employers to recruit domestic workers (drivers, maids, nannies, cooks) from outside the Kingdom electronically.",منصة مساند,https://www.musaned.com.sa,وزارة الموارد البشرية والتنمية الاجتماعية,Ministry of Human Resources and Social Development,خدمات العمالة المنزلية,Domestic Worker Services,"منصة مساند|info, للمواطنين والمقيمين|success, آخر تحديث: مارس 2026|warning",,,"renew-iqama, transfer-sponsorship",########
musaned-transfer-domestic-worker,نقل خدمات عمالة منزلية عبر مساند,Transfer domestic worker via Musaned,تتيح هذه الخدمة نقل خدمات عامل منزلي من كفيل إلى آخر إلكترونياً عبر منصة مساند.,This service allows the transfer of domestic worker services from one sponsor to another electronically via the Musaned platform.,منصة مساند,https://www.musaned.com.sa,وزارة الموارد البشرية والتنمية الاجتماعية,Ministry of Human Resources and Social Development,خدمات العمالة المنزلية,Domestic Worker Services,"منصة مساند|info, موافقة الطرفين مطلوبة|warning, آخر تحديث: مارس 2026|warning",,,"musaned-domestic-worker-visa, renew-iqama",########
nafath-setup,تفعيل تطبيق نفاذ الوطني,Set up Nafath national digital ID,نفاذ هو نظام الهوية الرقمية الوطني المطلوب لتسجيل الدخول إلى معظم المنصات الحكومية والبنكية. هذا الدليل يشرح التفعيل خطوة بخطوة.,Nafath is the national digital identity system required to log in to most government and banking platforms. This guide explains activation step by step.,تطبيق نفاذ,https://www.iam.gov.sa,هيئة الحكومة الرقمية,Digital Government Authority,خدمات عامة,General Services,"تطبيق نفاذ|info, مطلوب لكل المنصات|warning, آخر تحديث: مارس 2026|warning",,,"absher-account-registration, register-national-address",########
open-bank-account-resident,فتح حساب بنكي للمقيمين,Open a bank account for residents,يمكن للمقيمين في المملكة فتح حساب بنكي لدى البنوك السعودية بشرط توفر إقامة سارية وعنوان وطني مسجل. بعض البنوك تتيح الفتح إلكترونياً.,Residents in Saudi Arabia can open a bank account at Saudi banks with a valid Iqama and registered national address. Some banks allow online account opening.,البنوك السعودية,https://www.sama.gov.sa,البنك المركزي السعودي (ساما),Saudi Central Bank (SAMA),خدمات مالية,Financial Services,بعض البنوك تفتح إلكترونياً|info,,,"register-national-address, simah-credit-report",2026-03-18
pay-traffic-fines,الاستعلام عن المخالفات المرورية وسدادها,Check and pay traffic fines,تتيح لك هذه الخدمة الاستعلام عن المخالفات المرورية المسجلة عليك أو على مركباتك وسدادها إلكترونياً عبر أبشر أو تطبيقات البنوك.,This service allows you to check traffic violations registered against you or your vehicles and pay them electronically via Absher or banking apps.,أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات المرور,Traffic Services,"أبشر أفراد|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",المخالفات غير المسددة تمنع تجديد الإقامة ورخصة القيادة والاستمارة,"Unpaid violations prevent Iqama renewal, driving license renewal, and vehicle registration renewal","renew-driving-license, vehicle-registration-renewal",########
power-of-attorney-najiz,إصدار وكالة إلكترونية عبر ناجز,Issue power of attorney via Najiz,تمكّنك هذه الخدمة من إصدار وكالة شرعية إلكترونية (عامة أو خاصة) عبر بوابة ناجز دون الحاجة لزيارة كتابة العدل.,This service enables you to issue an electronic power of attorney (general or specific) via the Najiz portal without visiting a notary office.,بوابة ناجز,https://www.najiz.sa,وزارة العدل,Ministry of Justice,خدمات عدلية,Justice Services,"بوابة ناجز|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",,,marriage-contract-najiz,########
property-deed-transfer-najiz,نقل ملكية عقار (إفراغ) عبر ناجز,Transfer property ownership via Najiz,تتيح هذه الخدمة نقل ملكية عقار من البائع إلى المشتري إلكترونياً عبر بوابة ناجز، دون الحاجة لزيارة كتابة العدل.,"This service allows the transfer of property ownership from seller to buyer electronically via the Najiz portal, without visiting a notary office.",بوابة ناجز,https://www.najiz.sa,وزارة العدل,Ministry of Justice,خدمات عدلية,Justice Services,"بوابة ناجز|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",,,"power-of-attorney-najiz, ejar-rental-contract",########
register-national-address,تسجيل وتحديث العنوان الوطني عبر سبل,Register or update national address via Subol,العنوان الوطني مطلوب لمعظم الخدمات الحكومية والبنكية. تتيح لك هذه الخدمة تسجيل عنوانك أو تحديثه عبر منصة سبل (البريد السعودي سابقاً).,A national address is required for most government and banking services. This service allows you to register or update your address via the Subol platform (formerly Saudi Post).,منصة سبل,https://www.spl.com.sa,مؤسسة البريد السعودي (سبل),Saudi Post (SPL / Subol),خدمات عامة,General Services,"منصة سبل|info, مطلوب لمعظم الخدمات|warning, آخر تحديث: مارس 2026|warning",,,issue-commercial-registration,########
renew-commercial-registration,تجديد السجل التجاري عبر المركز السعودي للأعمال,Renew commercial registration via Saudi Business Center,تتيح لك هذه الخدمة تجديد السجل التجاري لمنشأتك إلكترونياً قبل انتهائه لتجنب الغرامات والشطب.,This service allows you to renew your commercial registration electronically before it expires to avoid fines and deregistration.,المركز السعودي للأعمال,https://business.sa,وزارة التجارة,Ministry of Commerce,خدمات تجارية,Business Services,"المركز السعودي للأعمال|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning","عدم التجديد خلال 30 يوماً من الانتهاء يعرّض المنشأة لغرامة تصل إلى 10,000 ر.س وقد يؤدي للشطب","Failure to renew within 30 days of expiry exposes the business to fines up to SAR 10,000 and possible deregistration","issue-commercial-registration, issue-municipal-license",########
renew-domestic-worker-visa,تجديد تأشيرة العمالة المنزلية,Renew domestic worker visa,تتيح هذه الخدمة لصاحب العمل تجديد تأشيرة العمالة المنزلية (خادمة، سائق، مربية) إلكترونياً عبر منصة مساند أو أبشر.,"This service allows employers to renew a domestic worker visa (maid, driver, nanny) electronically via Musaned or Absher.",مساند / أبشر,https://www.musaned.com.sa,وزارة الموارد البشرية,Ministry of Human Resources,خدمات التأشيرات,Visa Services,عمالة منزلية|info,,,"musaned-domestic-worker-visa, renew-iqama",2026-03-18
renew-driving-license,تجديد رخصة القيادة عبر أبشر,Renew driving license via Absher,تمكّنك هذه الخدمة من تجديد رخصة القيادة للمواطنين والمقيمين إلكترونياً عبر منصة أبشر دون الحاجة لزيارة إدارة المرور.,This service enables citizens and residents to renew their driving license electronically via Absher without visiting the Traffic Department.,أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات المرور,Traffic Services,"أبشر أفراد|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning",غرامة تأخير التجديد تتراوح بين 100-150 ر.س، والقيادة برخصة منتهية مخالفة مرورية,"Late renewal fine ranges from SAR 100-150, and driving with an expired license is a traffic violation","pay-traffic-fines, vehicle-registration-renewal",########
renew-ejar-contract,تجديد عقد إيجار إلكتروني عبر إيجار,Renew rental contract via Ejar,تتيح هذه الخدمة تجديد عقد الإيجار السكني أو التجاري الموثق إلكترونياً قبل انتهائه عبر منصة إيجار.,This service allows renewal of a registered residential or commercial rental contract electronically before it expires via the Ejar platform.,منصة إيجار,https://www.ejar.sa,وزارة الشؤون البلدية والقروية والإسكان,"Ministry of Municipal, Rural Affairs and Housing",خدمات الإسكان,Housing Services,"منصة إيجار|info, موافقة الطرفين مطلوبة|warning, آخر تحديث: مارس 2026|warning",,,"ejar-rental-contract, register-national-address",########
renew-health-insurance,تجديد التأمين الصحي عبر مجلس الضمان,Renew health insurance via CCHI,التأمين الصحي إلزامي لجميع المقيمين وموظفي القطاع الخاص. يمكن التحقق من حالته وتجديده عبر مجلس الضمان الصحي.,Health insurance is mandatory for all residents and private sector employees. You can check its status and renew it via the Council of Health Insurance.,مجلس الضمان الصحي,https://www.chi.gov.sa,مجلس الضمان الصحي التعاوني,Council of Cooperative Health Insurance (CCHI),خدمات صحية,Health Services,"مجلس الضمان الصحي|info, إلزامي للمقيمين|warning, آخر تحديث: مارس 2026|warning",عدم وجود تأمين صحي ساري يمنع تجديد الإقامة,Not having valid health insurance prevents Iqama renewal,"renew-iqama, renew-work-permit",########
renew-iqama,تجديد هوية مقيم عبر أبشر,Renew resident identity (Iqama) via Absher,تمكّنك هذه الخدمة من تجديد هوية مقيم (إقامة) لأحد أفراد أسرتك أو العمالة المنزلية إلكترونياً عبر منصة أبشر، دون الحاجة لزيارة الجوازات.,"This service enables you to renew a resident identity (Iqama) for your family members or domestic workers electronically via Absher, without visiting the Passport office.",أبشر أفراد / أعمال,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الجوازات,Passport Services,"أبشر أفراد / أعمال|info, إلكترونية بالكامل|success, آخر تحديث: مارس 2026|warning","غرامة التأخير: 500 ر.س للمرة الأولى — 1,000 ر.س للتكرار — الإبعاد للمرة الثالثة","Late renewal fine: SAR 500 first time — SAR 1,000 repeat — deportation third time","transfer-sponsorship, issue-exit-reentry-visa, renew-work-permit",########
renew-national-id,تجديد الهوية الوطنية عبر أبشر,Renew national ID (Hawiyya) via Absher,تتيح لك هذه الخدمة تجديد بطاقة الهوية الوطنية السعودية إلكترونياً عبر منصة أبشر، وتوصيلها لعنوانك الوطني.,"This service allows you to renew your Saudi national ID card electronically via Absher, with delivery to your national address.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الأحوال المدنية,Civil Affairs,"أبشر أفراد|info, للمواطنين فقط|warning, آخر تحديث: مارس 2026|warning",غرامة تأخير تجديد الهوية تصل إلى 100 ر.س,Late ID renewal fine up to SAR 100,"renew-saudi-passport, register-national-address",########
renew-saudi-passport,إصدار وتجديد جواز السفر السعودي عبر أبشر,Issue or renew Saudi passport via Absher,تمكّنك هذه الخدمة من إصدار جواز سفر سعودي جديد أو تجديد جواز منتهي إلكترونياً عبر منصة أبشر، مع إمكانية توصيله لعنوانك الوطني.,"This service enables you to issue a new Saudi passport or renew an expired one electronically via Absher, with delivery to your national address.",أبشر أفراد,https://www.absher.sa,وزارة الداخلية,Ministry of Interior,خدمات الجوازات,Passport Services,"أبشر أفراد|info, للمواطنين فقط|warning, آخر تحديث: مارس 2026|warning",,,"renew-iqama, exit-reentry-visa",########
renew-work-permit,إصدار وتجديد رخصة عمل عبر قوى,Issue or renew work permit via Qiwa,تتيح هذه الخدمة لأصحاب المنشآت إصدار أو تجديد رخص العمل للعمالة الوافدة إلكترونياً عبر منصة قوى، وهي مطلوبة لتجديد الإقامة.,This service allows business owners to issue or renew work permits for foreign workers electronically via the Qiwa platform. Work permits are required for Iqama renewal.,منصة قوى,https://www.qiwa.sa,وزارة الموارد البشرية والتنمية الاجتماعية,Ministry of Human Resources and Social Development,خدمات العمل,Labor Services,"منصة قوى|info, مطلوبة لتجديد الإقامة|warning, آخر تحديث: مارس 2026|warning",رخصة العمل المنتهية تمنع تجديد الإقامة وقد تؤثر على نطاقات المنشأة,An expired work permit prevents Iqama renewal and may affect the establishment's Nitaqat rating,"renew-iqama, transfer-sponsorship",########
